__fact_key__,institution,period,publisher,journal_full_title,issn,doi,is_hybrid,country,euro
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,International Journal of Gynecology & Obstetrics,0020-7292,10.1002/ijgo.13099,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Skin Research and Technology,0909-752X,10.1111/srt.12800,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,American Journal of Medical Genetics Part A,1552-4825,10.1002/ajmg.a.61419,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Experimental Dermatology,0906-6705,10.1111/exd.14007,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Journal of Internal Medicine,0954-6820,10.1111/joim.12985,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Immunology,0019-2805,10.1111/imm.13138,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,JDDG Journal der Deutschen Dermatologischen Gesellschaft,1610-0379,10.1111/ddg.14013,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Allergy,0105-4538,10.1111/all.14015,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Journal of Tissue Engineering and Regenerative Medicine,1932-6254,10.1002/term.2948,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Alcoholism Clinical and Experimental Research,0145-6008,10.1111/acer.14211,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Journal of Medical Virology,0146-6615,10.1002/jmv.25583,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Addiction Biology,1355-6215,10.1111/adb.12841,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Magnetic Resonance in Medicine,0740-3194,10.1002/mrm.28095,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Health & Social Care in the Community,0966-0410,10.1111/hsc.12899,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Magnetic Resonance in Medicine,0740-3194,10.1002/mrm.28127,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,European Journal of Heart Failure,1388-9842,10.1002/ejhf.1667,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Hepatology,0270-9139,10.1002/hep.30925,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Arthritis Care & Research,2151-464X,10.1002/acr.24051,TRUE,DEU,4331.07
Charité - Universitätsmedizin Berlin,Charité - Universitätsmedizin Berlin,2019,Wiley-Blackwell,Clinical Pharmacology & Therapeutics,0009-9236,10.1002/cpt.1637,TRUE,DEU,4331.07
