ror,lr,lroe,coki,qs,sir
0004r6b85,0,0,1,0,0
000evwg49,0,0,1,0,0
000jzpp78,0,0,1,0,0
000tpgs13,0,0,1,0,0
001rdaz60,0,0,1,0,0
001rdde17,0,0,1,0,0
001vjqx13,0,0,1,0,0
001yqrb02,0,0,1,0,0
003r76697,0,0,1,0,0
0044w3h23,0,0,1,0,0
005k9c849,0,0,1,0,0
00613ak93,0,0,1,0,1
006thab72,0,0,1,0,1
00717c553,0,0,1,0,0
0076zct58,0,0,1,0,0
007bw6q41,0,0,1,0,0
0080y7t67,0,0,1,0,0
00996c044,0,0,1,0,0
009dxjw45,0,0,1,0,0
00a0w0523,0,0,1,0,0
00a208s56,1,1,1,0,1
00b1c9541,1,1,1,1,1
00b6j6x40,0,0,1,0,0
00bwfj843,0,0,1,0,0
00dfbms98,0,0,1,0,0
00e8f1a50,0,0,1,0,0
00edvg943,0,0,1,0,0
00f2wje32,0,0,1,0,0
00f2yqf98,1,1,1,1,1
00f5q5839,0,0,1,0,0
00f7hpc57,1,1,1,1,1
00f7ytv44,0,0,1,0,0
00fbnyb24,1,1,1,1,1
00fkqwx76,0,0,1,0,1
00ftx0026,0,0,1,0,0
00g07sz63,0,0,1,0,0
00g30e956,1,1,1,1,1
00ggpsq73,1,1,1,0,1
00gm0aw40,0,0,1,0,0
00gzkxz88,0,0,1,0,0
00j9xkc07,0,0,1,0,0
00jbwpt44,0,0,1,0,0
00jw3g525,0,0,1,0,0
00k62pe27,0,0,1,0,0
00mx91s63,0,0,1,0,1
00nggaz43,0,0,1,0,0
00nm1ws09,0,0,1,0,0
00pd74e08,1,1,1,1,1
00pv45a02,0,0,1,0,1
00q644y50,0,0,1,0,1
00qakfc35,0,0,1,0,0
00r1edq15,1,1,1,0,1
00rcxh774,1,1,1,1,1
00s1ckt27,0,0,1,0,0
00s4rmz74,0,0,1,0,0
00t3r8h32,1,1,1,0,1
00txhpa83,0,0,1,0,0
00vd2h880,0,0,1,0,0
00vjd4k74,0,0,1,0,0
00vkbtf98,0,0,1,0,0
00w7whj55,0,0,1,0,0
00x67g916,0,0,1,0,0
00x67m532,0,0,1,0,0
00xdvw685,0,0,1,0,0
00yq55g44,0,0,1,0,1
00yvfbm89,0,0,1,0,0
00yx29a03,0,0,1,0,0
00z9cn431,0,0,1,0,0
00zayq578,0,0,1,0,0
010nsgg66,1,1,1,1,1
012k1v959,0,0,1,0,1
012m9bp23,0,0,1,0,0
014cnmj57,0,0,1,0,0
014nnvj65,0,0,1,0,1
015a98c38,0,0,1,0,0
015qjqf64,1,1,1,0,1
016604a03,0,0,1,0,1
0167rnj42,0,0,1,0,0
016zq4f37,0,0,1,0,0
017bbsh25,0,0,1,0,0
0189raq88,0,0,1,0,1
01a2z2x66,0,0,1,0,0
01bc76c69,0,0,1,0,0
01bk10867,0,0,1,0,0
01bwma613,0,0,1,0,0
01c0m1t63,0,0,1,0,1
01c1w6d29,0,0,1,0,1
01crqqh49,0,0,1,0,0
01d30w739,0,0,1,0,0
01eezs655,1,1,1,1,1
01f5b8367,0,0,1,0,0
01fzsd381,0,0,1,0,0
01ge5zt06,0,0,1,0,0
01gm0md04,0,0,1,0,0
01gq10q51,0,0,1,0,0
01h7vw195,0,0,1,0,0
01hcx6992,1,1,1,1,1
01hkc4630,0,0,1,0,0
01hqp1g48,0,0,1,0,0
01hwhm419,0,0,1,0,0
01j2dwr66,0,0,1,0,0
01j9f6752,0,0,1,0,0
01jdpyv68,1,1,1,1,1
01js9jv94,0,0,1,0,0
01k5h5v15,0,0,1,0,0
01k8fm112,0,0,1,0,0
01k97gp34,1,1,1,1,1
01kdxra28,0,0,1,0,0
01nbps758,0,0,1,0,0
01prjcc04,0,0,1,0,0
01pxkj057,0,0,1,0,0
01qjbb734,0,0,1,0,0
01qrts582,1,1,1,0,1
01qve8440,0,0,1,0,0
01r8xsy94,0,0,1,0,0
01rdrb571,1,1,1,1,1
01rfnc002,0,0,1,0,0
01t1kq612,0,0,1,0,0
01t4pxy10,0,0,1,0,0
01t4ttr56,0,0,1,0,0
01tbgce33,0,0,1,0,0
01tbnxe16,0,0,1,0,0
01trbq046,0,0,1,0,0
01v0c1y10,0,0,1,0,0
01v7j8968,0,0,1,0,0
01w0fb867,0,0,1,0,0
01we8bn75,0,0,1,0,0
01weqhp73,0,0,1,0,1
01x84xc38,0,0,1,0,0
01xpfrc74,0,0,1,0,0
01xzwj424,0,0,1,0,1
01y01jq30,0,0,1,0,0
01y9bpm73,1,1,1,1,1
01yhahq71,0,0,1,0,1
01z1z7017,0,0,1,0,0
022598c22,0,0,1,0,0
022r03w28,0,0,1,0,0
022zhm372,0,0,1,0,0
0234wmv40,1,1,1,1,1
023b0x485,1,1,1,1,1
0243j3z07,0,0,1,0,0
0245cg223,1,1,1,1,1
024ga3r86,0,0,1,0,0
024nr0776,0,0,1,0,0
024xejm70,0,0,1,0,0
024z2rq82,1,1,1,1,1
026c3xn33,0,0,1,0,0
026kenw55,0,0,1,0,0
02778hg05,0,0,1,0,1
027b9qx26,0,0,1,0,1
02a8wk986,0,0,1,0,0
02azyry73,1,1,1,1,1
02bxzcy64,0,0,1,0,1
02d89at43,0,0,1,0,0
02dm92c46,0,0,1,0,0
02dsdsv34,0,0,1,0,0
02e3hdx05,0,0,1,0,0
02f9det96,0,0,1,0,1
02fstjp34,0,0,1,0,0
02g2sh456,0,0,1,0,0
02ge27m07,0,0,1,0,0
02hapf869,0,0,1,0,0
02hpadn98,1,1,1,1,1
02j0n6s98,0,0,1,0,0
02k4gk709,0,0,1,0,0
02kkvpp62,1,1,1,1,1
02kqy4228,0,0,1,0,0
02kraxp86,0,0,1,0,0
02kw5st29,0,0,1,0,0
02m11x738,0,0,1,0,1
02m1z0a87,0,0,1,0,0
02m4p8096,0,0,1,0,0
02m7p2c22,0,0,1,0,0
02msan859,0,0,1,0,1
02nfy3535,0,0,1,0,0
02nkxrq89,0,0,1,0,0
02nq4wt82,0,0,1,0,0
02nq6sy34,0,0,1,0,0
02p5hsv84,0,0,1,0,0
02pnhcc10,0,0,1,0,0
02qbcmz19,0,0,1,0,0
02qchbs48,0,0,1,0,0
02qdc9985,0,0,1,0,0
02r625m11,0,0,1,0,1
02r724415,0,0,1,0,0
02re32a17,0,0,1,0,0
02rqsa469,0,0,1,0,0
02rtsfd15,0,0,1,0,0
02vvvm705,0,0,1,0,0
02w2y2t16,0,0,1,0,1
02wxx3e24,0,0,1,0,1
02xdzy536,0,0,1,0,0
02xstm723,0,0,1,0,0
02yrs2n53,0,0,1,1,1
02ywmkj38,0,0,1,0,0
02zp2df93,0,0,1,0,0
0304hq317,1,1,1,1,1
030sdwr92,0,0,1,0,0
031bsb921,0,0,1,1,1
031eq5e98,0,0,1,0,0
031ph8d53,0,0,1,0,0
031vc2293,1,1,1,1,1
032000t02,1,1,1,1,1
032xqbj11,0,0,1,0,0
033bb5z47,0,0,1,0,1
033eqas34,1,1,1,1,1
033jd5r25,0,0,1,0,0
033n9gh91,1,1,1,0,1
03606hw36,0,0,1,0,1
0367m1n91,0,0,1,0,0
036f7qt17,0,0,1,0,0
036smcz74,0,0,1,0,0
0378gm372,0,0,1,0,0
038ftp957,0,0,1,0,0
038fwdn76,0,0,1,0,0
038rep477,0,0,1,0,0
038t2yw28,0,0,1,0,0
038t36y30,1,1,1,1,1
039gdg280,0,0,1,0,0
039jwf091,0,0,1,0,0
03a1kwz48,1,1,1,1,1
03afcx965,0,0,1,0,0
03aft2f80,0,0,1,0,0
03aky0p13,0,0,1,0,0
03b7zcy46,0,0,1,0,0
03b9q7371,0,0,1,0,0
03bavdz78,0,0,1,0,0
03bh13774,0,0,1,0,0
03bnmw459,1,1,1,1,1
03bthq143,0,0,1,0,0
03c0qqf32,0,0,1,0,0
03ccc5z68,0,0,1,0,0
03crxcn36,0,0,1,0,0
03czk8k96,0,0,1,0,0
03d0yjb51,0,0,1,0,0
03d1zwe41,0,0,1,0,0
03dv91853,0,0,1,0,1
03efsge90,0,0,1,0,0
03eqwj662,0,0,1,0,0
03eznrw16,0,0,1,0,0
03gf02c22,0,0,1,0,0
03ggzay52,0,0,1,0,0
03gzxs418,0,0,1,0,0
03hbmgt12,0,0,1,0,0
03hj50651,0,0,1,0,0
03hj8rz96,0,0,1,0,0
03hzkp562,0,0,1,0,0
03k5bhd83,0,0,1,0,0
03kzgcv48,0,0,1,0,0
03m2kj587,0,0,1,0,0
03p14d497,1,1,1,0,1
03pqf0084,0,0,1,0,0
03q0ab227,0,0,1,0,0
03rkmps36,0,0,1,0,1
03s7gtk40,1,1,1,1,1
03t7d6q88,0,0,1,0,0
03t7jd518,0,0,1,0,0
03v4gjf40,1,1,1,1,1
03vz3qc29,0,0,1,0,0
03w3a0h43,0,0,1,0,0
03xgcq477,0,0,1,0,1
03xp99m49,0,0,1,0,0
03y02pg02,0,0,1,0,0
03yjyed28,0,0,1,0,0
03z6vda50,0,0,1,0,0
03zdwsf69,1,1,1,1,1
03zekj455,0,0,1,0,0
03zh5eq96,0,0,1,0,1
040d40q10,0,0,1,0,0
041bz9r75,0,0,1,0,0
041nas322,1,1,1,1,1
041w2kh96,0,0,1,0,0
042aqky30,1,1,1,1,1
042xxdh20,0,0,1,0,0
0433e6t24,0,0,1,0,1
044rf5p19,0,0,1,0,0
044w5t390,0,0,1,0,0
