ror,lr,lroe,coki,qs,sir
00013q465,0,0,1,1,0
0001a2m26,0,0,1,0,0
0001fmy77,0,0,1,0,0
0002cnv45,0,0,1,0,0
0002pcv65,0,0,1,0,0
00033n668,0,0,1,0,1
000367g23,0,0,1,0,0
000372389,0,0,1,0,0
0003e4m70,0,0,1,0,1
0003ewr82,0,0,1,0,0
00042h977,0,0,1,0,0
0004r6b85,0,0,1,0,0
0004vyj87,0,0,1,1,0
0004wsx81,0,0,1,1,1
000548d77,0,0,1,0,0
0005k2a75,0,0,1,0,0
0005r2j17,0,0,1,0,0
0005w8d69,1,1,1,1,0
0006cvt76,0,0,1,0,0
0006j5k73,0,0,1,0,0
00088z429,0,0,1,0,0
0008bt423,0,0,1,0,0
0008d4756,0,0,1,0,0
0008kv292,0,0,1,0,1
000917t60,1,1,1,1,0
0009eqg37,0,0,1,0,0
0009t4v78,0,0,1,1,1
0009xxz90,0,0,1,0,0
000a8qk84,0,0,1,0,0
000axn811,0,0,1,0,0
000b7ms85,0,0,1,0,1
000be6g31,0,0,1,0,0
000bjk220,0,0,1,0,0
000cnwx98,0,0,1,0,0
000e0be47,1,1,1,1,0
000epg022,0,0,1,0,0
000evwg49,0,0,1,0,0
000fpja48,0,0,1,0,0
000fxgx19,0,0,1,0,0
000g0zm60,0,0,1,0,0
000ge9g13,0,0,1,0,0
000gm9x69,0,0,1,0,0
000hdh770,0,0,1,0,1
000hzy098,0,0,1,0,1
000j1d533,0,0,1,0,0
000jtc944,0,0,1,0,0
000jvv118,0,0,1,0,0
000jzpp78,0,0,1,0,0
000kkaz97,0,0,1,0,0
000ks8283,0,0,1,0,0
000kxhc93,0,0,1,0,0
000mgxg22,0,0,1,0,0
000n1k313,0,0,1,0,1
000nj1063,0,0,1,0,0
000p7dd29,0,0,1,0,0
000pmrk50,0,0,1,1,1
000prga03,0,0,1,0,1
000psgr90,0,0,1,0,0
000psz759,0,0,1,0,0
000q0mx12,0,0,1,0,0
000q9yz13,0,0,1,0,0
000qzf213,1,1,1,0,1
000rak666,0,0,1,0,0
000rbze86,0,0,1,0,0
000sg7415,0,0,1,0,0
000t0f062,1,1,1,1,0
000tee703,0,0,1,0,0
000tpgs13,0,0,1,0,0
000v4bn80,0,0,1,0,0
000vg1h78,0,0,1,0,0
000vgrb22,0,0,1,0,0
000vj2f52,0,0,1,0,0
000vknf06,0,0,1,0,0
000xmhb57,0,0,1,0,0
000xsnr85,1,1,1,1,0
000y2g343,0,0,1,1,1
000yesh06,0,0,1,0,0
000yk5876,0,0,1,0,0
000ymgt65,0,0,1,0,0
000zamq06,0,0,1,0,0
000zprs97,0,0,1,0,0
0010b6s72,0,0,1,0,1
0010jkx06,0,0,1,0,0
00113vt82,0,0,1,0,0
001154j50,0,0,1,0,0
0011qv509,1,1,1,0,1
0012pft53,0,0,1,0,0
0013qa018,0,0,1,0,0
00146qx36,0,0,1,0,0
00147fj93,0,0,1,0,0
0014fb593,0,0,1,0,0
0014sb331,0,0,1,0,0
001575385,0,0,1,0,0
0015r4831,0,0,1,0,0
00160a123,0,0,1,0,0
0016by010,0,0,1,0,0
0016w2w54,0,0,1,0,0
00186jw56,0,0,1,0,0
001889b65,0,0,1,0,0
0018jvy55,0,0,1,0,0
00194tb08,0,0,1,0,0
0019bf448,0,0,1,0,0
0019g1982,0,0,1,0,0
0019h0z47,0,0,1,0,0
001amd982,0,0,1,0,0
001b4cb05,0,0,1,0,0
001c2sn75,0,0,1,0,1
001c9gn96,0,0,1,0,0
001cbt815,0,0,1,0,0
001cf8537,0,0,1,0,0
001chpb97,0,0,1,0,0
001drnv35,0,0,1,0,1
001ekgz09,0,0,1,0,0
001et4e78,0,0,1,0,1
001f39w38,0,0,1,0,0
001fphc23,0,0,1,0,0
001fypf81,0,0,1,0,0
001g2fj96,0,0,1,1,1
001ghdf98,0,0,1,0,0
001gmya32,0,0,1,0,0
001gpfp45,0,0,1,1,0
001gw2c60,0,0,1,0,0
001hawd46,0,0,1,0,0
001hkh847,0,0,1,0,0
001htc678,0,0,1,0,0
001hv0k59,0,0,1,0,1
001jk8698,0,0,1,0,0
001ksx577,0,0,1,0,0
001m1hv61,0,0,1,0,1
001mf9v16,0,0,1,0,1
001mzze07,0,0,1,0,0
001n0zm21,0,0,1,0,0
001nkz398,0,0,1,0,0
001nq7s39,0,0,1,0,0
001nta019,0,0,1,0,0
001nzxd62,0,0,1,0,0
001p2e958,0,0,1,0,0
001p3jz28,1,1,1,1,0
001pe5g24,0,0,1,0,1
001pj0680,0,0,1,0,0
001pma463,0,0,1,0,0
001pvd496,0,0,1,0,0
001q4kn48,1,1,1,1,0
001qst305,0,0,1,0,0
001r73k91,0,0,1,0,0
001rdaz60,0,0,1,0,0
001rdde17,0,0,1,0,0
001s4x714,0,0,1,0,0
001shqf12,0,0,1,0,0
001skmk61,0,0,1,0,1
001tmjg57,1,1,1,1,1
001vjqx13,0,0,1,0,0
001vq2a15,0,0,1,0,0
001w4ps18,0,0,1,0,0
001wjeh94,0,0,1,0,0
001ws2a36,1,1,1,0,0
001x6y413,0,0,1,0,0
001xjdh50,0,0,1,0,1
001xkv632,0,0,1,1,1
001xs0312,0,0,1,0,0
001y2wd07,0,0,1,0,0
001yc7927,0,0,1,0,0
001ydh096,0,0,1,0,0
001yqrb02,0,0,1,0,0
001yxxw51,0,0,1,0,0
001zdzp98,0,0,1,0,0
001zf8v27,0,0,1,0,0
0020kf976,0,0,1,0,0
0020snb74,1,1,1,0,0
002273w22,0,0,1,0,0
0022nd079,1,1,1,1,1
0022qva30,0,0,1,0,1
0022yfe36,0,0,1,0,0
00235nr42,0,0,1,1,0
0023ydp64,0,0,1,0,0
00240q980,1,1,1,1,0
0025p3069,0,0,1,0,0
00264zf15,0,0,1,0,0
00268wk31,0,0,1,0,1
0027cag10,0,0,1,0,0
002823j22,0,0,1,0,0
00286hs46,0,0,1,0,1
0028edj28,0,0,1,0,0
0028fee73,0,0,1,0,0
0028kf729,0,0,1,0,0
0028q1g19,0,0,1,0,0
0028v3876,1,1,1,1,1
00293y771,0,0,1,0,0
0029df882,0,0,1,0,0
0029n1t76,0,0,1,0,1
002b21721,0,0,1,0,0
002b7nr53,1,1,1,1,1
002bahc84,0,0,1,0,0
002c7gt96,0,0,1,0,0
002d67284,0,0,1,0,0
002dktj83,0,0,1,0,0
002dmza47,0,0,1,0,0
002e3sm06,0,0,1,0,0
002ez5845,0,0,1,0,0
002f2sy95,0,0,1,0,0
002fqp272,0,0,1,0,0
002fqzg39,0,0,1,0,0
002fzqp75,0,0,1,0,0
002g3cb31,0,0,1,0,0
002g4yr42,0,0,1,0,0
002g57a93,0,0,1,0,0
002gmks55,0,0,1,0,0
002h8g185,1,1,1,1,1
002hbfc50,0,0,1,0,1
002hfez23,0,0,1,0,0
002hq8b42,0,0,1,0,0
002j9jj25,0,0,1,0,0
002jegx53,0,0,1,0,0
002k06d85,0,0,1,0,0
002k8gm39,0,0,1,0,0
002kenh51,0,0,1,0,0
002kn6n54,0,0,1,0,0
002m6kk35,0,0,1,0,0
002mzw222,0,0,1,0,0
002nf6z37,0,0,1,0,0
002ngbk13,0,0,1,0,0
002pcmz09,0,0,1,0,0
002qeva03,0,0,1,0,0
002qhr126,0,0,1,0,1
002qkam19,0,0,1,0,0
002r67t24,0,0,1,0,0
002rc4w13,1,1,1,1,0
002rcdx19,0,0,1,0,0
002rjbv21,1,1,1,0,0
002rphp73,0,0,1,0,0
002rw7y37,0,0,1,0,1
002s77n28,0,0,1,0,0
002t25c44,0,0,1,1,0
002tchr49,0,0,1,0,1
002ttqg42,0,0,1,0,0
002tx1f22,0,0,1,1,1
002v2kq79,1,1,1,1,0
002w4zy91,0,0,1,0,1
002w9k038,0,0,1,0,0
002wcjr61,0,0,1,0,0
002x6f380,0,0,1,0,1
002xar614,0,0,1,0,0
002xc5p11,0,0,1,0,0
002xn4752,0,0,1,0,0
002xnzp34,0,0,1,0,1
002y1bq07,0,0,1,0,0
002y4pe44,0,0,1,0,0
002ygss10,0,0,1,0,0
002yp7f20,1,1,1,1,1
002ztb251,0,0,1,0,0
0030d2559,0,0,1,0,0
0030hgr47,0,0,1,0,0
0030zas98,1,1,1,1,1
003109y17,1,1,1,0,0
00315pw02,0,0,1,0,0
00316zc91,0,0,1,0,1
0031n1577,0,0,1,0,0
0031nsg68,0,0,1,0,1
0031wrj91,0,0,1,1,1
0031x3y66,0,0,1,0,0
0032wgp28,0,0,1,0,0
00331xs95,0,0,1,0,0
00337p258,0,0,1,0,0
0033b8372,0,0,1,0,0
0033gxm08,0,0,1,0,0
0033vhx30,0,0,1,0,0
00340yn33,1,1,1,1,1
0034eay46,0,0,1,0,0
0034eez47,0,0,1,0,1
0034jpk25,0,0,1,0,0
0034mdn74,0,0,1,0,0
0034me914,0,0,1,1,0
0034tbg85,0,0,1,1,0
0034wme67,0,0,1,0,0
0035bbx08,0,0,1,0,0
003659f07,0,0,1,0,1
0036b6n81,0,0,1,0,0
0036c6m19,0,0,1,0,0
0036p5w23,0,0,1,1,0
0036rpn28,1,1,1,1,1
0036wzx44,0,0,1,0,0
00376bg92,0,0,1,0,0
00379n634,0,0,1,0,0
0037an472,0,0,1,0,0
0037djy87,0,0,1,0,1
0037hx413,0,0,1,0,0
0037nyg09,0,0,1,0,0
0037qsh65,0,0,1,0,1
0038gz437,0,0,1,0,0
0038jbq24,0,0,1,0,1
00390t168,0,0,1,0,1
0039d5757,1,1,1,1,0
0039pbm21,0,0,1,0,0
0039tsz33,0,0,1,0,0
0039wpa60,0,0,1,0,0
003a79y48,0,0,1,0,0
003ag3w45,0,0,1,0,0
003aj1676,0,0,1,0,0
003ammk23,0,0,1,0,0
003ayef58,0,0,1,0,0
003b78q25,0,0,1,0,0
003byr264,0,0,1,0,0
003ct7658,0,0,1,0,0
003d3xx08,1,1,1,0,0
003eaqr04,0,0,1,0,0
003eyb898,0,0,1,0,1
003f21n80,0,0,1,0,0
003f4pg83,0,0,1,0,0
003fgzm76,0,0,1,0,0
003fmz167,0,0,1,0,0
003frhn24,0,0,1,0,0
003fyqt13,0,0,1,0,0
003g49r03,0,0,1,0,0
003h4kj85,0,0,1,0,0
003hsr719,0,0,1,0,1
003jb2109,0,0,1,0,0
003jjq839,0,0,1,0,1
003jq9j58,0,0,1,0,0
003js3p07,0,0,1,0,0
003jsdw96,0,0,1,0,0
003k26w86,0,0,1,0,0
003kgv736,0,0,1,0,0
003kqe171,0,0,1,0,0
003ktzf45,0,0,1,0,0
003mdrz16,0,0,1,0,0
003meye08,0,0,1,0,0
003mpdt17,0,0,1,0,0
003ncxf91,0,0,1,0,0
003njxk77,0,0,1,0,0
003p8mm90,0,0,1,0,0
003qdfg20,0,0,1,0,1
003qt4p19,0,0,1,0,1
003r3cg42,0,0,1,0,0
003r3ng51,0,0,1,0,0
003r76697,0,0,1,0,0
003rage82,0,0,1,0,0
003rdc798,0,0,1,0,0
003s3dn82,0,0,1,0,0
003s89n44,0,0,1,0,1
003sgap07,0,0,1,0,0
003sgjn18,0,0,1,0,0
003sxhp42,0,0,1,0,0
003szmg30,0,0,1,0,1
003t41316,0,0,1,0,0
003td8q57,0,0,1,0,0
003tmp461,0,0,1,0,0
003vfy751,0,0,1,0,0
003vkcj31,0,0,1,0,0
003vxvw45,0,0,1,0,0
003w3ym70,0,0,1,0,0
003w6kb85,0,0,1,0,0
003wdqw68,0,0,1,0,0
003wpag88,0,0,1,0,0
003wq4h14,0,0,1,0,0
003wx9n05,0,0,1,0,0
003xj6z62,0,0,1,0,0
003xs1762,0,0,1,0,0
003xyzq10,1,1,1,0,1
003yn7c76,0,0,1,0,1
00409ce90,0,0,1,0,0
0040axw97,1,1,1,1,1
0040bha74,0,0,1,0,0
0040cz635,0,0,1,0,1
0040db356,0,0,1,0,0
0040r6f76,1,1,1,1,1
0041qmd21,0,0,1,0,0
0042bdc75,0,0,1,0,0
0042f2034,0,0,1,0,0
0042wf948,0,0,1,0,0
0043ezw98,0,0,1,0,0
0043h8f16,0,0,1,0,1
00445hv47,0,0,1,0,1
0044e2g62,0,0,1,1,1
0044w3h23,0,0,1,0,0
00453a208,0,0,1,1,1
00467a196,0,0,1,0,0
004684q56,0,0,1,0,0
0046mja08,0,0,1,1,1
0046y6b22,0,0,1,0,0
00473rv55,0,0,1,0,0
004776246,0,0,1,0,0
0047hkh43,0,0,1,0,0
0047q0d34,0,0,1,0,0
00490vc18,0,0,1,0,0
00496yk95,0,0,1,0,0
0049erg63,1,1,1,1,1
0049gd358,0,0,1,0,0
004af2v94,0,0,1,0,0
004ah3r71,0,0,1,0,1
004axh929,0,0,1,0,0
004b20975,0,0,1,0,0
004dg2369,0,0,1,0,1
004drcv69,0,0,1,0,0
004dwfr15,0,0,1,0,1
004eeze55,1,1,1,0,1
004emtb57,0,0,1,0,0
004ezwb23,0,0,1,0,0
004fa4s18,0,0,1,0,0
004fan886,0,0,1,0,0
004fs0e42,0,0,1,0,0
004fze387,0,0,1,0,1
004gfgx38,0,0,1,1,0
004gk0w56,0,0,1,0,0
004gnah66,0,0,1,0,0
004gw9825,0,0,1,0,0
004h3nh40,0,0,1,0,0
004hnyk37,0,0,1,0,0
004hyqr12,0,0,1,0,0
004j0wk96,0,0,1,0,0
004j8pp46,0,0,1,0,0
004jbx603,0,0,1,0,0
004je0088,0,0,1,0,0
004k51631,0,0,1,0,0
004kvr873,0,0,1,0,0
004kyan19,0,0,1,0,0
004majf41,0,0,1,0,0
004mbaj56,0,0,1,1,1
004n78r59,0,0,1,0,0
004np3m61,0,0,1,0,0
004nyzb81,0,0,1,0,0
004pc5924,0,0,1,0,0
004q7z165,0,0,1,0,0
004q90683,0,0,1,0,0
004qfsw40,0,0,1,0,0
004qjck53,0,0,1,0,0
004r9h172,0,0,1,0,0
004raaa70,0,0,1,0,0
004rbbw49,1,1,1,0,1
