ror,region,lr,lroe,coki,qs,sir
00003g016,Americas,0,0,1,0,0
000050t83,Asia,0,0,1,0,0
00005jn19,Asia,0,0,1,0,0
000063q30,Europe,0,0,1,0,0
0000fr117,Europe,0,0,1,0,0
0000h6r91,Europe,0,0,1,0,0
0000n5x09,Europe,0,0,1,0,0
0000p0n60,Americas,0,0,1,0,0
0000pmw59,Asia,0,0,1,0,0
0000xgr97,Americas,0,0,1,0,0
0000yrh61,Asia,0,0,1,0,0
00013q465,Americas,0,0,1,1,0
0001a2m26,Americas,0,0,1,0,0
0001fmy77,Europe,0,0,1,0,0
0001h1y25,Europe,0,0,1,0,0
0001j6637,Americas,0,0,1,0,0
0001ke483,Europe,0,0,1,0,0
0001tya14,Americas,0,0,1,0,0
0001w5c47,Europe,0,0,1,0,0
00029be75,Europe,0,0,1,0,0
0002cnv45,Europe,0,0,1,0,0
0002exf56,Europe,0,0,1,0,0
0002pcv65,Americas,0,0,1,0,0
0002rg505,Americas,0,0,1,0,0
00032t641,Asia,0,0,1,0,0
00033n668,Europe,0,0,1,0,1
000367g23,Europe,0,0,1,0,0
000372389,Europe,0,0,1,0,0
0003e4m70,Europe,0,0,1,0,1
0003ege03,Europe,0,0,1,0,0
0003en535,Americas,0,0,1,0,0
0003ewr82,Asia,0,0,1,0,0
0003zy991,Europe,0,0,1,0,0
00042h977,Americas,0,0,1,0,0
000466g76,Europe,0,0,1,0,0
0004gzs06,Asia,0,0,1,0,0
0004r6b85,Europe,0,0,1,0,0
0004vyj87,Africa,0,0,1,1,0
0004wsx81,Asia,0,0,1,1,1
0004ysa08,Europe,0,0,1,0,0
000518j63,Europe,0,0,1,0,0
000548d77,Africa,0,0,1,0,0
0005ck383,Asia,0,0,1,0,0
0005eqq91,Asia,0,0,1,0,0
0005jpy03,Asia,0,0,1,0,0
0005k2a75,Asia,0,0,1,0,0
0005r2j17,Europe,0,0,1,0,0
0005tvh12,Europe,0,0,1,0,0
0005w8d69,Europe,1,1,1,1,0
000628g58,Asia,0,0,1,0,0
00067tc54,Oceania,0,0,1,0,0
0006cvt76,Europe,0,0,1,0,0
0006j5k73,Asia,0,0,1,0,0
0006jev58,Americas,0,0,1,0,0
0006n3612,Americas,0,0,1,0,0
0006s4z66,Americas,0,0,1,0,0
0006swh35,Asia,0,0,1,0,0
0006wrh30,Europe,0,0,1,0,0
000714v43,Europe,0,0,1,0,0
00073my17,Americas,0,0,1,0,0
00073tb80,Asia,0,0,1,0,0
0007cgk43,Europe,0,0,1,0,0
0007tes83,Asia,0,0,1,0,0
000849h34,Europe,0,0,1,0,0
000865z52,Europe,0,0,1,0,0
00087rj45,Asia,0,0,1,0,0
000889019,Europe,0,0,1,0,0
00088z429,Asia,0,0,1,0,0
0008aac48,Americas,0,0,1,0,0
0008bt423,Oceania,0,0,1,0,0
0008d4756,Africa,0,0,1,0,0
0008kv292,Americas,0,0,1,0,1
0008m0297,Europe,0,0,1,0,0
0008nva35,Americas,0,0,1,0,0
0008s4w86,Americas,0,0,1,0,0
0008sqa62,Americas,0,0,1,0,0
0008vp155,Europe,0,0,1,0,0
0008wzh48,Europe,0,0,1,0,0
0008xqs48,Europe,0,0,1,0,0
0008zj958,Europe,0,0,1,0,0
000917t60,Americas,1,1,1,1,0
00096h502,Americas,0,0,1,0,0
00097mb19,Asia,0,0,1,0,0
0009b0k06,Europe,0,0,1,0,0
0009eea46,Asia,0,0,1,0,0
0009eec40,Europe,0,0,1,0,0
0009eqg37,Americas,0,0,1,0,0
0009f0p28,Asia,0,0,1,0,0
0009ha653,Americas,0,0,1,0,0
0009jge67,Americas,0,0,1,0,0
0009s9p66,Europe,0,0,1,0,0
0009t4v78,Europe,0,0,1,1,1
0009wsb17,Europe,0,0,1,0,0
0009xxz90,Europe,0,0,1,0,0
000a1cz07,Europe,0,0,1,0,0
000a1tn51,Americas,0,0,1,0,0
000a2sx58,Europe,0,0,1,0,0
000a8qk84,Asia,0,0,1,0,0
000ahf130,Americas,0,0,1,0,0
000aph098,Asia,0,0,1,0,0
000apqb71,Americas,0,0,1,0,0
000aqgk72,Europe,0,0,1,0,0
000axn811,Europe,0,0,1,0,0
000b1qx78,Americas,0,0,1,0,0
000b3v524,Americas,0,0,1,0,0
000b7ms85,Asia,0,0,1,0,1
000bdn450,Europe,0,0,1,0,0
000be6g31,Asia,0,0,1,0,0
000bjk220,Europe,0,0,1,0,0
000bmd472,Americas,0,0,1,0,0
000bp7q73,Europe,0,0,1,0,0
000bvba82,Asia,0,0,1,0,0
000bxzc63,Europe,0,0,1,0,0
000c2p832,Europe,0,0,1,0,0
000c39f30,Asia,0,0,1,0,0
000cf1839,Europe,0,0,1,0,0
000ch3x42,Americas,0,0,1,0,0
000cnwx98,Americas,0,0,1,0,0
000crk757,Americas,0,0,1,0,0
000cs1t14,Americas,0,0,1,0,0
000cxfw53,Americas,0,0,1,0,0
000cyem11,Americas,0,0,1,0,1
000cytz87,Europe,0,0,1,0,0
000d53575,Asia,0,0,1,0,0
000d5zy28,Europe,0,0,1,0,0
000dbcc61,Europe,0,0,1,0,0
000dkqr98,Asia,0,0,1,0,0
000dpyn16,Europe,0,0,1,0,0
000dswa46,Americas,0,0,1,0,0
000dzg547,Americas,0,0,1,0,0
000e0be47,Americas,1,1,1,1,0
000e19x32,Europe,0,0,1,0,0
000e3j968,Asia,0,0,1,0,0
000ed3w25,Oceania,0,0,1,0,1
000ehr937,Europe,0,0,1,0,0
000en4h24,Europe,0,0,1,0,0
000ep5m48,Europe,0,0,1,0,0
000epg022,Africa,0,0,1,0,0
000etmf12,Europe,0,0,1,0,0
000evwg49,Europe,0,0,1,0,0
000ex0h82,Asia,0,0,1,0,0
000ezn412,Asia,0,0,1,0,0
000f32327,Americas,0,0,1,0,0
000f7jy90,Europe,0,0,1,0,0
000fdg564,Asia,0,0,1,0,0
000fpja48,Europe,0,0,1,0,0
000fvwg06,Asia,0,0,1,0,0
000fxgx19,Americas,0,0,1,0,0
000fyja13,Americas,0,0,1,0,0
000fzkp10,Americas,0,0,1,0,0
000g0zm60,Africa,0,0,1,0,0
000g2fe29,Europe,0,0,1,0,0
000ge9g13,Americas,0,0,1,0,0
000gjv789,Americas,0,0,1,0,0
000gm1k91,Europe,0,0,1,0,0
000gm9x69,Asia,0,0,1,0,0
000gyeq24,Europe,0,0,1,0,0
000h6jb29,Europe,0,0,1,0,0
000h77t05,Asia,0,0,1,0,0
000hc8n84,Americas,0,0,1,0,0
000hdh770,Europe,0,0,1,0,1
000hew328,Americas,0,0,1,0,0
000hkd473,Americas,0,0,1,0,0
000hskt11,Asia,0,0,1,0,0
000hzy098,Europe,0,0,1,0,1
000j1d533,Africa,0,0,1,0,0
000j1tr86,Asia,0,0,1,0,0
000j37591,Europe,0,0,1,0,0
000j6sc87,Asia,0,0,1,0,0
000jd8a09,Asia,0,0,1,0,0
000jewp25,Europe,0,0,1,0,0
000jqa749,Europe,0,0,1,0,0
000jtc944,Asia,0,0,1,0,0
000jvv118,Africa,0,0,1,0,0
000jzpp78,Europe,0,0,1,0,0
000k1q888,Europe,0,0,1,0,1
000k53a93,Americas,0,0,1,0,0
000kb2a90,Asia,0,0,1,0,0
000ke5995,Asia,0,0,1,0,0
000kfx178,Europe,0,0,1,0,0
000kgrw24,Europe,0,0,1,0,0
000kjm556,Asia,0,0,1,0,0
000kjq947,Asia,0,0,1,0,0
000kkaz97,Europe,0,0,1,0,0
000kkgk42,Americas,0,0,1,0,0
000kq2q47,Americas,0,0,1,0,0
000ks8283,Asia,0,0,1,0,0
000kvm359,Europe,0,0,1,0,0
000kxhc93,Asia,0,0,1,0,0
000m3hy37,Europe,0,0,1,0,0
000m4se28,Asia,0,0,1,0,0
000mgxg22,Americas,0,0,1,0,0
000mrza07,Americas,0,0,1,0,0
000mza046,Europe,0,0,1,0,0
000n0fx93,Europe,0,0,1,0,0
000n1k313,Asia,0,0,1,0,1
000n8re15,Europe,0,0,1,0,0
000nbq540,Asia,0,0,1,0,0
000ncdv93,Europe,0,0,1,0,0
000neg726,Oceania,0,0,1,0,0
000nes056,Europe,0,0,1,0,0
000nhpy59,Europe,0,0,1,0,0
000nhq538,Europe,0,0,1,0,1
000nj1063,Europe,0,0,1,0,0
000nw4a65,Europe,0,0,1,0,0
000nwmh60,Americas,0,0,1,0,0
000p4dw82,Americas,0,0,1,0,0
000p6bx44,Americas,0,0,1,0,0
000p7dd29,Europe,0,0,1,0,0
000p7hm12,Asia,0,0,1,0,0
000p86k36,Europe,0,0,1,0,0
000pfrh90,Americas,0,0,1,0,0
000ph9k36,Europe,0,0,1,0,0
000pmrk50,Asia,0,0,1,1,1
000prga03,Asia,0,0,1,0,1
000psgr90,Europe,0,0,1,0,0
000psz759,Americas,0,0,1,0,0
000pvc513,Europe,0,0,1,0,0
000pw2z54,Americas,0,0,1,0,0
000q08p21,Europe,0,0,1,0,0
000q0mx12,Asia,0,0,1,0,0
000q4gm66,Europe,0,0,1,0,0
000q6dn27,Europe,0,0,1,0,0
000q75d75,Asia,0,0,1,0,0
000q9yz13,Africa,0,0,1,0,0
000qjjz95,Oceania,0,0,1,0,0
000qr7b45,Europe,0,0,1,0,0
000qx7w57,Asia,0,0,1,0,0
000qysg46,Asia,0,0,1,0,0
000qzf213,Asia,1,1,1,0,1
000r0q932,Oceania,0,0,1,0,0
000r80389,Asia,0,0,1,0,0
000rak666,Europe,0,0,1,0,0
000rbze86,Asia,0,0,1,0,0
000rdbk18,Europe,0,0,1,0,0
000rgm762,Americas,0,0,1,0,1
000rkhy86,Americas,0,0,1,0,0
000rr7w48,Europe,0,0,1,0,0
000rs7940,Europe,0,0,1,0,0
000s52h07,Americas,0,0,1,0,0
000s5ez74,Europe,0,0,1,0,0
000s6jb73,Americas,0,0,1,0,0
000s8jb40,Americas,0,0,1,0,0
000s9mk50,Europe,0,0,1,0,0
000sfad56,Europe,0,0,1,0,0
000sg7415,Americas,0,0,1,0,0
000smmv87,Asia,0,0,1,0,0
000sq7c21,Europe,0,0,1,0,0
000sxmx78,Asia,0,0,1,0,0
000sy1f36,Europe,0,0,1,0,0
000t0f062,Asia,1,1,1,1,0
000t17x96,Asia,0,0,1,0,0
000t5z820,Europe,0,0,1,0,0
000tce348,Oceania,0,0,1,0,0
000tdrn36,Europe,0,0,1,0,0
000tee703,Europe,0,0,1,0,0
000tetj79,Europe,0,0,1,0,0
000tfh447,Asia,0,0,1,0,0
000tk0v89,Europe,0,0,1,0,0
000tpgs13,Europe,0,0,1,0,0
000tqtb97,Asia,0,0,1,0,0
000v4bn80,Americas,0,0,1,0,0
000vby968,Americas,0,0,1,0,0
000vg1h78,Asia,0,0,1,0,0
000vg5909,Africa,0,0,1,0,0
000vgrb22,Asia,0,0,1,0,0
000vj2f52,Americas,0,0,1,0,0
000vjzq57,Americas,0,0,1,0,0
000vknf06,Europe,0,0,1,0,0
000vvpv33,Asia,0,0,1,0,0
000vy8681,Asia,0,0,1,0,0
000w0ky84,Americas,0,0,1,0,1
000w57b95,Europe,0,0,1,0,0
000w5kn77,Americas,0,0,1,0,0
000w7cv19,Asia,0,0,1,0,0
000wej815,Asia,0,0,1,0,0
000wh6t45,Europe,0,0,1,0,0
000wnz761,Europe,0,0,1,0,0
000wq3b85,Americas,0,0,1,0,0
000x1tr98,Americas,0,0,1,0,0
000x3c608,Americas,0,0,1,0,0
000xab928,Europe,0,0,1,0,0
000xaj256,Americas,0,0,1,0,0
000xmhb57,Americas,0,0,1,0,0
000xsnr85,Europe,1,1,1,1,0
000xvke80,Asia,0,0,1,0,0
000y25914,Europe,0,0,1,0,0
000y2g343,Asia,0,0,1,1,1
000y6ah26,Americas,0,0,1,0,0
000ycsz94,Asia,0,0,1,0,0
000yct867,Americas,0,0,1,0,0
000ydq217,Europe,0,0,1,0,0
000yesh06,Asia,0,0,1,0,0
000yk5876,Asia,0,0,1,0,0
000ymgt65,Europe,0,0,1,0,0
000ywep40,Europe,0,0,1,0,1
000yyt861,Europe,0,0,1,0,0
000z46s85,Europe,0,0,1,0,0
000z4wj31,Americas,0,0,1,0,0
000zamq06,Americas,0,0,1,0,0
000zgvm20,Asia,0,0,1,0,0
000zhpw23,Europe,0,0,1,0,1
000znb612,Europe,0,0,1,0,0
000znbq58,Asia,0,0,1,0,0
000zprs97,Europe,0,0,1,0,0
000ztjy10,Americas,0,0,1,0,0
001040111,Europe,0,0,1,0,0
001040h60,Americas,0,0,1,0,0
00105n552,Asia,0,0,1,0,0
00109m582,Americas,0,0,1,0,0
0010b6s72,Asia,0,0,1,0,1
0010c1z81,Europe,0,0,1,0,0
0010e1p75,Asia,0,0,1,0,0
0010jkx06,Asia,0,0,1,0,0
0010mjy66,Asia,0,0,1,0,0
0010qfz59,Americas,0,0,1,0,0
00113vt82,Americas,0,0,1,0,0
00114hq16,Americas,0,0,1,0,0
001154j50,Europe,0,0,1,0,0
0011azt19,Americas,0,0,1,0,0
0011qv509,Americas,1,1,1,0,1
