Country,nij_lr,nij_lroe,nij_qs,nij_sir,nij_coki,pref_lr,pref_lroe,pref_sir,pref_qs,pref_coki
Afghanistan,0,0,0,1,27,0,0,0.18,0,1.56
Albania,0,0,0,4,25,0,0,0.7,0,1.39
Algeria,1,1,2,47,77,0.13,0.13,1.87,0.23,0.97
American Samoa,0,0,0,0,1,0,0,0,0,1.61
Andorra,0,0,0,0,1,0,0,0,0,1.61
Angola,0,0,0,0,10,0,0,0,0,1.61
Antigua and Barbuda,0,0,0,0,3,0,0,0,0,1.61
Argentina,3,3,11,32,101,0.34,0.34,1.09,1.08,1.09
Armenia,0,0,0,2,14,0,0,0.64,0,1.41
Aruba,0,0,0,0,1,0,0,0,0,1.61
Australia,35,35,38,42,106,2.34,2.34,0.84,2.2,0.67
Austria,13,13,12,23,80,1.58,1.58,0.83,1.26,0.92
Azerbaijan,0,0,7,5,31,0,0,0.59,2.41,1.16
Bahamas,0,0,0,0,2,0,0,0,0,1.61
Bahrain,0,0,3,7,11,0,0,1.7,2.11,0.85
Bangladesh,0,0,15,43,120,0,0,1.23,1.25,1.09
Barbados,0,0,0,1,4,0,0,1.02,0,1.29
Belarus,0,0,0,5,44,0,0,0.52,0,1.45
Belgium,8,8,10,11,55,1.49,1.49,0.61,1.61,0.96
Belize,0,0,0,0,3,0,0,0,0,1.61
Benin,0,0,0,2,5,0,0,1.46,0,1.15
Bermuda,0,0,0,0,1,0,0,0,0,1.61
Bhutan,0,0,0,0,3,0,0,0,0,1.61
Bolivia,0,0,0,1,34,0,0,0.15,0,1.57
Bonaire,0,0,0,0,1,0,0,0,0,1.61
Bosnia and Herzegovina,0,0,0,6,20,0,0,1.18,0,1.24
Botswana,0,0,1,2,7,0,0,1.02,1.48,1.13
Brazil,38,38,42,165,470,0.86,0.86,1.12,0.82,1.01
Brunei,0,0,2,2,4,0,0,1.28,3.7,0.81
Bulgaria,0,0,2,17,48,0,0,1.29,0.44,1.16
Burkina Faso,0,0,0,2,10,0,0,0.85,0,1.35
Burundi,0,0,0,0,3,0,0,0,0,1.61
Cabo Verde,0,0,0,0,4,0,0,0,0,1.61
Cambodia,0,0,0,0,15,0,0,0,0,1.61
